payload_index,mic_label,x_mm,y_mm,x_m,y_m,dist_to_camera_mm,dist_to_center_mm,azimuth_deg,min_dist_mm
0,U3,13.3,7.08,0.013299999999999998,0.007080000000000002,37.35,15.07,28.03,37.35
1,U2,23.8,4.28,0.0238,0.004280000000000001,30.12,24.18,10.19,30.12
2,U1,1.9,8.38,0.0018999999999999985,0.008380000000000002,47.34,8.59,77.23,47.34
3,U4,9.7,17.78,0.009700000000000002,0.01778,37.57,20.25,61.39,37.57
4,U8,-6.8,14.38,-0.006799999999999997,0.014380000000000002,54.3,15.91,115.31,54.3
5,U6,-11.6,1.48,-0.011600000000000001,0.0014800000000000004,62.31,11.69,172.73,62.31
6,U9,-18.3,10.48,-0.018299999999999997,0.010480000000000001,66.27,21.09,150.2,66.27
7,U7,-2.2,22.76,-0.0022000000000000027,0.022760000000000002,48.97,22.87,95.52,48.96
8,U18,-16.8,-8.12,-0.016799999999999995,-0.008119999999999997,70.9,18.66,-154.2,70.9
9,U16,7.9,-9.62,0.007899999999999999,-0.009619999999999997,51.06,12.45,-50.61,51.06
10,U19,-3.7,-5.12,-0.0037000000000000028,-0.005119999999999998,57.97,6.32,-125.85,57.97
11,U17,1.1,-0.72,0.0011000000000000014,-0.0007199999999999989,51.67,1.31,-33.21,51.67
12,U13,-3.0,-16.02,-0.003,-0.016019999999999996,63.49,16.3,-100.61,63.49
13,U12,-12.8,-20.52,-0.012799999999999997,-0.020519999999999997,73.98,24.18,-121.96,73.98
14,U11,18.3,-6.92,0.0183,-0.006919999999999998,41.73,19.56,-20.71,41.73
15,U14,7.5,-21.12,0.0075,-0.021119999999999996,59.42,22.41,-70.45,59.42
